StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,REFERRAL,SCORE_RAW
31/7/2024 10:45,31/7/2024 10:49,Survey Preview,100,254,TRUE,31/7/2024 10:49,R_3q8pejtT62GdHnq,preview,EN,1,,,,,I agree,Yes,33712,,Apartment,Own,,5 - 9 years,,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Low priority,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,A little true,A little true,A little true,A little true,A little true,A little true,A little true,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,About once a month,,,,,About once a month,About once a month,About once a month,About once a month,,,,,About the same as I do,About the same as I do,About the same as I do,About the same as I do,Winter (December - February),"A boat, kayak, or canoe",Socializing with other anglers,"Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, a little involved",Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Very true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,,,,,,,,,,,,,,Declined,5,Nitrogen,5,Stormwater runoff,5,Summer (June - September),4,Increased ocean temperature,4,Public meetings,25 - 34,Female,,Hispanic or Latino/a,,Vocational or Trade School degree,"Student,Retired","$50,000 - $74,999",Slightly conservative,NA,3
14/8/2024 8:31,14/8/2024 8:44,IP Address,100,782,TRUE,14/8/2024 8:44,R_7MNkTgg8atxW87J,anonymous,EN,1,,0,25,,I agree,Yes,34221,,Single-family home,Own,,20 years or more,,Top priority,High priority,High priority,Moderate priority,Moderate priority,High priority,Top priority,Moderate priority,High priority,High priority,Low priority,High priority,Top priority,High priority,High priority,High priority,A little true,Completely true,Moderately true,Completely true,Not true at all,Completely true,Completely true,A little true,A little true,Completely true,Completely true,Moderately true,Completely true,Completely true,Completely true,About once a week,Multiple times per week,About once a month,About once a week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,A few times,Never,A few times,Multiple times per week,About once a month,About once a month,About once a month,A few times,About once a week,Never,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,A few times,Much more than I do,Much more than I do,Much more than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,Winter (December - February),"A boat, kayak, or canoe",Fishing for fun or sport,"Yes, very involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Moderately true,Completely true,Completely true,A little true,Moderately true,Not true at all,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,A little of the time,A good bit of the time,A little of the time,A good bit of the time,None of the time,A good bit of the time,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,10,Nitrogen,10,Stormwater runoff,10,Summer (June - September),10,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",10,"Radio,Social media,Newspapers or magazines,Mail or email newsletters,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",55 - 64,Male,,White or European,,Doctoral degree,Full-time,"$100,000 or more",Moderately conservative,TBEP,4
14/8/2024 8:31,14/8/2024 8:50,IP Address,100,1101,TRUE,14/8/2024 8:50,R_7iVblmA7KeilSTQ,anonymous,EN,1,,0,0,,I agree,Yes,33611,,Single-family home,Rent,,1 - 4 years,,High priority,High priority,Moderate priority,Low priority,High priority,High priority,Moderate priority,Top priority,High priority,Moderate priority,High priority,Top priority,Moderate priority,High priority,High priority,Top priority,A little true,A little true,A little true,Not true at all,Not true at all,Completely true,Completely true,Moderately true,A little true,Very true,Completely true,Moderately true,Very true,Moderately true,Very true,A few times,About once a month,A few times,Multiple times per week,Never,A few times,About once a week,Multiple times per week,About once a month,Multiple times per week,A few times,About once a month,About once a month,About once a week,A few times,Never,A few times,Never,Never,About once a month,Multiple times per week,About once a week,About once a month,Much more than I do,Much more than I do,A little more than I do,A little more than I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,,A fishing pier or boardwalk,"Fishing for relaxation,Watching friends or family fish,Socializing with other anglers","No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","No, not involved",Moderately true,A little true,Completely true,Completely true,Moderately true,Completely true,Completely true,Very true,Completely true,Moderately true,Very true,Not true at all,Completely true,Moderately true,Very true,Completely true,Moderately true,Not true at all,Very true,A little true,A little true,Very true,Completely true,Completely true,A little true,Completely true,Some of the time,Most of the time,Some of the time,Some of the time,None of the time,A good bit of the time,Several days,Several days,Several days,Several days,Not at all,Not at all,Not at all,Declined,7,Nitrogen,8,Stormwater runoff,8,Summer (June - September),8,"Increased ocean temperature,Nutrient pollution",8,"Radio,Social media,Mail or email newsletters,Public meetings,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers)",25 - 34,Female,,White or European,,Master's degree,Full-time,"$75,000 - $99,999",Strongly liberal,TBEP,3.5
14/8/2024 8:37,14/8/2024 8:53,IP Address,100,929,TRUE,14/8/2024 8:53,R_7jDO0U1yKBFBZze,anonymous,EN,1,,0,5,,I agree,Yes,33705,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,Top priority,Top priority,Top priority,Low priority,Top priority,Moderate priority,Top priority,Top priority,Low priority,Low priority,High priority,Top priority,Top priority,Top priority,Moderately true,A little true,Moderately true,A little true,Not true at all,Very true,Completely true,Very true,A little true,Completely true,Completely true,Moderately true,Completely true,Not true at all,Very true,A few times,Never,Never,About once a month,About once a week,Never,About once a week,About once a month,Never,Never,A few times,About once a month,A few times,A few times,A few times,Never,Never,A few times,Multiple times per week,A few times,Multiple times per week,Multiple times per week,Multiple times per week,Much more than I do,Much more than I do,Much more than I do,A little less than I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,,,,"No, not involved","Yes, a little involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved",Not true at all,Not true at all,A little true,A little true,Not true at all,Completely true,A little true,Not true at all,Completely true,Very true,Very true,A little true,Completely true,Not true at all,A little true,A little true,Not true at all,A little true,Very true,Not true at all,A little true,Not true at all,A little true,Very true,Not true at all,Completely true,A good bit of the time,A little of the time,A good bit of the time,Some of the time,A good bit of the time,Some of the time,Nearly every day,Several days,Several days,Several days,Not at all,Several days,Not at all,Improved,5,Nitrogen,5,Stormwater runoff,5,Summer (June - September),5,"Increased ocean temperature,Nutrient pollution",5,"Newspapers or magazines,Mail or email newsletters,Non-governmental organization (NGO) websites",65 or older,Female,,White or European,,Doctoral degree,Full-time,"$75,000 - $99,999",Strongly liberal,TBEP,4.5
14/8/2024 8:45,14/8/2024 8:56,IP Address,100,684,TRUE,14/8/2024 8:56,R_6kiAP8pbnDOw0qx,anonymous,EN,1,,0,0,,I agree,Yes,33785,,Condominium,Own,,1 - 4 years,,Top priority,Moderate priority,Top priority,Moderate priority,Moderate priority,High priority,High priority,High priority,Not a priority,Low priority,High priority,High priority,High priority,Top priority,High priority,High priority,Not true at all,Not true at all,Not true at all,A little true,A little true,Moderately true,Very true,Moderately true,A little true,Moderately true,A little true,Not true at all,Very true,Not true at all,A little true,Never,A few times,Never,Multiple times per week,Never,About once a week,A few times,About once a week,About once a month,A few times,A few times,A few times,A few times,About once a week,About once a month,Never,Never,Never,Never,A few times,Multiple times per week,Never,A few times,About the same as I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,,The shoreline or bank of a water body,"Fishing for relaxation,Fishing for my own food,Watching friends or family fish","No, not involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,A little true,Moderately true,A little true,Not true at all,Not true at all,A little true,Completely true,Moderately true,Moderately true,Very true,Moderately true,Moderately true,Completely true,A little true,A little true,A little true,A little true,Moderately true,Not true at all,A little true,A little true,A little true,A little true,Not true at all,Completely true,None of the time,Most of the time,None of the time,Most of the time,None of the time,A good bit of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,5,Carbon,5,Vehicle emissions,5,Summer (June - September),5,"Increased ocean temperature,Microplastics",8,"Television,Newspapers or magazines,Government websites",65 or older,Female,,White or European,,Bachelor's degree,Retired,"$50,000 - $74,999",Slightly liberal,TBEP,2
14/8/2024 8:35,14/8/2024 9:04,IP Address,100,1770,TRUE,14/8/2024 9:04,R_7vNgD1Z6vcTAqHL,anonymous,EN,1,,0,20,,I agree,Yes,33569,,Single-family home,Own,,20 years or more,,High priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,High priority,Low priority,Low priority,High priority,Top priority,High priority,Moderate priority,Moderate priority,Moderate priority,Not true at all,Not true at all,Not true at all,Not true at all,A little true,Completely true,Moderately true,Moderately true,A little true,Completely true,Very true,Very true,Completely true,Very true,Very true,A few times,A few times,A few times,A few times,About once a week,A few times,A few times,A few times,About once a month,Never,A few times,About once a month,About once a month,A few times,A few times,A few times,A few times,Never,Never,Never,Multiple times per week,A few times,A few times,Much more than I do,Much more than I do,Much more than I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,A little less than I do,Spring (March - May),"A boat, kayak, or canoe",Fishing for fun or sport,"No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Very true,Very true,Moderately true,A little true,A little true,Completely true,Completely true,Very true,Moderately true,Very true,Not true at all,A little true,Very true,Completely true,Very true,Very true,A little true,Completely true,Not true at all,A little true,A little true,A little true,Very true,Not true at all,Very true,None of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Remained about the same,10,Nitrogen,10,Stormwater runoff,10,Summer (June - September),10,"Increased ocean temperature,Nutrient pollution",10,"Newspapers or magazines,Mail or email newsletters,Public meetings,Government websites,Non-governmental organization (NGO) websites,Your own observations or experiences",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately conservative,TBEP,3.5
14/8/2024 8:46,14/8/2024 9:07,IP Address,100,1287,TRUE,14/8/2024 9:07,R_3PA6oFrwn3M5F8F,anonymous,EN,1,,0,0,,I agree,Yes,33611,,Single-family home,Own,,20 years or more,,Top priority,Moderate priority,Moderate priority,Moderate priority,High priority,Moderate priority,Top priority,Top priority,High priority,Moderate priority,Moderate priority,Low priority,Low priority,Low priority,High priority,High priority,Moderately true,Moderately true,Moderately true,Moderately true,Not true at all,Completely true,Completely true,Completely true,A little true,Very true,Very true,Very true,Very true,A little true,Moderately true,About once a month,A few times,A few times,Multiple times per week,Multiple times per week,Never,Multiple times per week,About once a week,A few times,Never,Never,A few times,A few times,A few times,A few times,Never,A few times,Never,Never,A few times,Multiple times per week,Multiple times per week,Never,Much more than I do,Much more than I do,Much more than I do,About the same as I do,About the same as I do,A little less than I do,A little less than I do,A little more than I do,,,,"Yes, very involved","Yes, very involved","Yes, a little involved","Yes, a little involved","Yes, very involved","No, not involved","Yes, a little involved",Completely true,A little true,Completely true,A little true,A little true,Completely true,A little true,Completely true,Very true,Very true,Very true,A little true,Moderately true,Completely true,A little true,Completely true,Completely true,A little true,Very true,Not true at all,Not true at all,A little true,A little true,Moderately true,Very true,Very true,A little of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Remained about the same,6,Phosphorus,6,Stormwater runoff,8,Summer (June - September),9,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",6,"Radio,Mail or email newsletters,Public meetings,Government websites,Non-governmental organization (NGO) websites,Your own observations or experiences",45 - 54,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Moderately liberal,TBEP,3
14/8/2024 8:43,14/8/2024 9:12,IP Address,100,1756,TRUE,14/8/2024 9:12,R_5FfvD9JZA7Wky9j,anonymous,EN,1,,0,0,,I agree,Yes,33702,,Single-family home,Own,,5 - 9 years,,Moderate priority,Moderate priority,High priority,Moderate priority,High priority,High priority,Top priority,High priority,Top priority,Moderate priority,High priority,High priority,Moderate priority,High priority,Top priority,High priority,Not true at all,Not true at all,Not true at all,Not true at all,Very true,Completely true,Completely true,Very true,A little true,Completely true,Very true,Completely true,Completely true,Very true,Completely true,A few times,About once a month,A few times,Multiple times per week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,About once a week,A few times,Never,About once a month,About once a month,About once a month,About once a month,Never,A few times,Never,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,Much more than I do,Much more than I do,Much more than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,,The shoreline or bank of a water body,Fishing for fun or sport,"No, not involved","Yes, a little involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","Yes, a little involved",Very true,A little true,Very true,Very true,A little true,Completely true,Very true,Completely true,Very true,A little true,Very true,Not true at all,Completely true,Completely true,Completely true,Very true,Completely true,Moderately true,Very true,Not true at all,A little true,Moderately true,A little true,Very true,A little true,Completely true,A little of the time,Most of the time,Some of the time,A good bit of the time,None of the time,Most of the time,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Improved,6,Phosphorus,8,Industrial discharges into the bay,8,Summer (June - September),5,"Increased ocean temperature,Nutrient pollution",10,"Mail or email newsletters,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",25 - 34,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Strongly liberal,TBEP,2.5
14/8/2024 8:58,14/8/2024 9:13,IP Address,100,871,TRUE,14/8/2024 9:13,R_3hFS5yvPtG5ZI7n,anonymous,EN,1,,0,0,,I agree,Yes,34221,,Single-family home,Own,,10 - 19 years,,Moderate priority,Moderate priority,Moderate priority,Low priority,Low priority,Moderate priority,Moderate priority,Top priority,Low priority,Low priority,High priority,Top priority,High priority,High priority,Top priority,High priority,Not true at all,A little true,A little true,Moderately true,Completely true,Completely true,Completely true,Completely true,A little true,Completely true,Very true,Completely true,Completely true,Moderately true,Very true,About once a month,About once a month,A few times,About once a week,Never,About once a week,About once a month,About once a month,About once a week,Never,Never,About once a month,A few times,A few times,A few times,Never,About once a week,Never,Never,Never,Multiple times per week,Never,Never,Much more than I do,About the same as I do,A little more than I do,A little more than I do,Much more than I do,Much less than I do,Much more than I do,Much more than I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Socializing with other anglers","Yes, a little involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,Completely true,Moderately true,A little true,Completely true,Very true,Very true,Completely true,Completely true,Very true,A little true,Completely true,Moderately true,Moderately true,Very true,Very true,A little true,Moderately true,Not true at all,A little true,Completely true,Very true,Very true,Not true at all,Very true,A little of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Declined,5,Nitrogen,7,Stormwater runoff,7,Summer (June - September),10,Nutrient pollution,7,"Television,Mail or email newsletters,Your own observations or experiences",45 - 54,Female,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Neutral,TBEP,3.5
14/8/2024 8:51,14/8/2024 9:14,IP Address,100,1345,TRUE,14/8/2024 9:14,R_5pGhs2XEie53U77,anonymous,EN,1,,0,0,,I agree,Yes,33569,,Single-family home,Own,,20 years or more,,Top priority,Moderate priority,Moderate priority,Not a priority,Not a priority,High priority,Moderate priority,High priority,Not a priority,Not a priority,High priority,High priority,Moderate priority,High priority,High priority,Low priority,A little true,Not true at all,A little true,A little true,Not true at all,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,About once a week,A few times,A few times,About once a week,Multiple times per week,About once a month,Multiple times per week,About once a week,About once a week,Never,A few times,About once a month,About once a month,About once a month,A few times,A few times,About once a month,Never,Multiple times per week,Multiple times per week,Multiple times per week,About once a week,About once a week,About the same as I do,About the same as I do,Much more than I do,Much less than I do,Much less than I do,About the same as I do,A little less than I do,Much less than I do,Spring (March - May),"A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation","Yes, very involved","Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Very true,Completely true,Completely true,Moderately true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Completely true,Very true,Completely true,A little true,Completely true,Not true at all,Not true at all,Very true,Moderately true,Moderately true,A little true,Very true,A little of the time,All of the time,A little of the time,All of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,10,Nitrogen,8,Stormwater runoff,7,Summer (June - September),10,Nutrient pollution,10,"Television,Social media,Newspapers or magazines,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",55 - 64,Male,,White or European,,High school diploma or GED,Retired,"Less than $25,000",Slightly conservative,TBEP,3.5
