StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,SCORE_RAW,KANTARID
14/8/2024 16:30,14/8/2024 16:34,IP Address,100,260,TRUE,14/8/2024 16:34,R_3EB0vAPyzASXSiH,anonymous,EN,1,,0,0,,I agree,Yes,33612,,Apartment,Rent,,20 years or more,,Low priority,Not a priority,High priority,Moderate priority,High priority,Not a priority,Top priority,High priority,Top priority,Moderate priority,Not a priority,Not a priority,Moderate priority,Moderate priority,Low priority,Top priority,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,Moderately true,Moderately true,A little true,Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Never,Never,Never,Never,Never,Never,Multiple times per week,Never,Never,Never,Never,Never,Never,Never,A few times,,,,,Multiple times per week,Never,Never,Never,,,,,Much less than I do,About the same as I do,About the same as I do,About the same as I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,Not true at all,Not true at all,Very true,Not true at all,Not true at all,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,A little of the time,Most of the time,None of the time,Some of the time,None of the time,A good bit of the time,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Remained about the same,0,Nitrogen,0,Stormwater runoff,0,Spring (March - May),0,Boat propeller blades,0,Television,45 - 54,Male,,Asian or Asian American,,Bachelor's degree,Retired,"Less than $25,000",Strongly liberal,2.5,[confidential]
14/8/2024 16:16,14/8/2024 16:36,IP Address,100,1155,TRUE,14/8/2024 16:36,R_1PHV2RC8CnQuIox,anonymous,EN,1,,0,0,,I agree,Yes,33707,,Single-family home,Own,,5 - 9 years,,High priority,Moderate priority,High priority,High priority,High priority,High priority,Moderate priority,High priority,Top priority,High priority,Moderate priority,High priority,Top priority,High priority,High priority,Top priority,Moderately true,Very true,Completely true,A little true,Very true,Very true,Very true,Very true,A little true,Very true,Completely true,Moderately true,Very true,Very true,Very true,Never,Never,A few times,A few times,A few times,Never,Never,Multiple times per week,A few times,A few times,A few times,A few times,A few times,About once a week,About once a month,A few times,About once a month,About once a month,About once a month,About once a month,Never,Never,Never,About the same as I do,A little more than I do,About the same as I do,A little more than I do,About the same as I do,About the same as I do,A little less than I do,A little less than I do,Summer (June - September),,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Very true,Completely true,Moderately true,Very true,Very true,Completely true,Very true,Very true,Moderately true,Very true,A little true,Not true at all,Moderately true,Moderately true,Very true,Very true,Completely true,Very true,Completely true,Very true,Moderately true,Very true,Completely true,Very true,Moderately true,A little of the time,Most of the time,A little of the time,A good bit of the time,Most of the time,Some of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,6,Phosphorus,8,Vehicle emissions,7,Fall (October - November),8,Microplastics,7,"Television,Radio,Social media",35 - 44,Male,,White or European,,Vocational or Trade School degree,Full-time,"$100,000 or more",Neutral,1,[confidential]
14/8/2024 16:23,14/8/2024 16:37,IP Address,100,845,TRUE,14/8/2024 16:38,R_51cmUF8na84lCHG,anonymous,EN,1,,0,0,,I agree,Yes,33579,,Townhome or duplex,Own,,10 - 19 years,,Moderate priority,Moderate priority,High priority,High priority,High priority,Moderate priority,Moderate priority,Low priority,Not a priority,Not a priority,Low priority,Low priority,High priority,High priority,High priority,Low priority,Not true at all,Moderately true,Moderately true,Very true,A little true,Completely true,Moderately true,Very true,A little true,A little true,Very true,Moderately true,Very true,Moderately true,A little true,Never,Never,Never,A few times,A few times,Never,About once a month,About once a month,About once a month,A few times,A few times,A few times,A few times,About once a month,A few times,Never,A few times,Never,Never,Never,About once a month,About once a month,A few times,A little more than I do,About the same as I do,About the same as I do,A little more than I do,A little more than I do,About the same as I do,About the same as I do,A little more than I do,,,,"Yes, a little involved","Yes, a little involved","Yes, very involved","No, not involved","Yes, a little involved","No, not involved","No, not involved",Very true,Very true,Very true,A little true,Not true at all,A little true,A little true,Very true,Moderately true,Moderately true,Very true,Not true at all,Moderately true,Very true,Moderately true,Not true at all,Not true at all,Not true at all,Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,None of the time,All of the time,None of the time,All of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,8,Phosphorus,5,Stormwater runoff,8,Summer (June - September),9,Boat propeller blades,6,Your own observations or experiences,65 or older,Female,,White or European,,Bachelor's degree,Unemployed,"$50,000 - $74,999",Neutral,2.5,[confidential]
14/8/2024 16:28,14/8/2024 16:48,IP Address,100,1215,TRUE,14/8/2024 16:48,R_3K7HR1ZwSPJkkaQ,anonymous,EN,1,,0,0,,I agree,Yes,33573,,Single-family home,Own,,20 years or more,,Low priority,Not a priority,Moderate priority,High priority,Moderate priority,Moderate priority,Top priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Top priority,Low priority,Low priority,A little true,A little true,Moderately true,Moderately true,Very true,Moderately true,A little true,Very true,A little true,A little true,Moderately true,Not true at all,Completely true,Not true at all,A little true,A few times,A few times,Never,A few times,About once a month,About once a week,About once a month,A few times,A few times,Never,Never,Never,Never,About once a month,A few times,About once a month,About once a week,Never,Never,Never,About once a week,A few times,Never,A little less than I do,About the same as I do,A little more than I do,A little more than I do,A little more than I do,About the same as I do,Much less than I do,About the same as I do,"Spring (March - May),Summer (June - September),Fall (October - November)","The shoreline or bank of a water body,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Moderately true,A little true,Not true at all,Not true at all,Not true at all,A little true,Very true,Moderately true,A little true,Very true,A little true,A little true,Very true,Moderately true,Not true at all,A little true,Moderately true,Completely true,Not true at all,A little true,Not true at all,A little true,A little true,Not true at all,A little true,None of the time,All of the time,None of the time,All of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,9,Phosphorus,7,Stormwater runoff,9,Summer (June - September),9,Nutrient pollution,9,"Television,Newspapers or magazines,Your own observations or experiences",65 or older,Female,,White or European,,High school diploma or GED,Retired,"$75,000 - $99,999",Strongly conservative,2.5,[confidential]
14/8/2024 16:45,14/8/2024 16:56,IP Address,100,638,TRUE,14/8/2024 16:56,R_1VrJUNFle4YJXwU,anonymous,EN,1,,0,0,,I agree,Yes,33709,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,High priority,High priority,Moderate priority,Low priority,Top priority,High priority,High priority,Moderate priority,Moderate priority,Moderate priority,Top priority,High priority,Top priority,Top priority,Not true at all,Not true at all,Not true at all,Moderately true,Moderately true,Completely true,Completely true,Completely true,A little true,Completely true,Very true,Very true,Very true,Not true at all,Moderately true,Never,Never,Never,Never,Never,Never,A few times,A few times,Never,Never,A few times,A few times,Never,A few times,Never,A few times,A few times,Never,Never,A few times,Multiple times per week,Multiple times per week,A few times,A little more than I do,About the same as I do,A little more than I do,A little more than I do,A little less than I do,About the same as I do,A little less than I do,A little less than I do,"Spring (March - May),Winter (December - February)",,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Not true at all,Not true at all,A little true,Not true at all,Moderately true,Moderately true,Completely true,Not true at all,Not true at all,Very true,Not true at all,Not true at all,Completely true,Very true,Not true at all,Completely true,Very true,Very true,Not true at all,Moderately true,Not true at all,Not true at all,A little true,Not true at all,Not true at all,None of the time,All of the time,None of the time,All of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,7,Carbon,0,Wastewater,1,Fall (October - November),1,"Boat propeller blades,Microplastics,Nutrient pollution",2,"Television,Word of mouth (friends, family, coworkers),Your own observations or experiences",65 or older,Female,,White or European,,High school diploma or GED,Retired,"$25,000 - $49,999",Strongly conservative,2,[confidential]
14/8/2024 16:49,14/8/2024 17:04,IP Address,100,891,TRUE,14/8/2024 17:04,R_7RflN9rVhlOwpEZ,anonymous,EN,1,,0,0,,I agree,Yes,33702,,Mobile home,Rent,,20 years or more,,Not a priority,Not a priority,Moderate priority,Not a priority,Not a priority,Not a priority,Top priority,Not a priority,Top priority,Not a priority,Low priority,Not a priority,High priority,Moderate priority,High priority,Moderate priority,Not true at all,A little true,A little true,Moderately true,Moderately true,A little true,Not true at all,Very true,A little true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,,Never,Never,Never,Never,,,,,Much more than I do,Much more than I do,Much more than I do,Much more than I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Very true,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,A little true,Not true at all,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Some of the time,A little of the time,A little of the time,A good bit of the time,Some of the time,None of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Declined,7,Phosphorus,3,Industrial discharges into the bay,5,Summer (June - September),3,Nutrient pollution,3,Social media,55 - 64,Female,,White or European,,High school diploma or GED,Retired,"Less than $25,000",Moderately conservative,1.5,[confidential]
14/8/2024 16:46,14/8/2024 17:27,IP Address,100,2478,TRUE,14/8/2024 17:27,R_5pS2wsxuVv0tXg4,anonymous,EN,1,,0,0,,I agree,Yes,33778,,Mobile home,Own,,1 - 4 years,,Not a priority,Top priority,Low priority,Low priority,Moderate priority,Low priority,Top priority,Low priority,Low priority,Low priority,Low priority,Low priority,Moderate priority,High priority,Top priority,Low priority,Not true at all,Not true at all,Moderately true,A little true,A little true,Completely true,A little true,Very true,A little true,Completely true,Completely true,Very true,Completely true,Moderately true,Completely true,Never,Never,Never,About once a week,Multiple times per week,A few times,Never,About once a week,A few times,Never,Never,Never,Never,A few times,Never,,,,,Never,Multiple times per week,Never,Never,,,,,Much more than I do,A little less than I do,Much more than I do,Much more than I do,,The shoreline or bank of a water body,"Fishing for fun or sport,Fishing for relaxation","No, not involved","No, not involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved",Very true,Not true at all,Not true at all,A little true,A little true,A little true,Not true at all,Very true,A little true,A little true,Very true,Not true at all,Moderately true,A little true,A little true,Not true at all,Completely true,A little true,Very true,Not true at all,A little true,Not true at all,Not true at all,Moderately true,Not true at all,Not true at all,Some of the time,Most of the time,None of the time,Most of the time,None of the time,Some of the time,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Improved,8,Nitrogen,5,Stormwater runoff,5,Summer (June - September),5,Nutrient pollution,5,Television,65 or older,Female,,White or European,,Vocational or Trade School degree,Retired,"Less than $25,000",Strongly conservative,4.5,[confidential]
14/8/2024 17:42,14/8/2024 17:51,IP Address,100,525,TRUE,14/8/2024 17:51,R_5GGhgub27SrG093,anonymous,EN,0.699999988,,0,15,,I agree,Yes,33611,,Single-family home,Own,,20 years or more,,High priority,Top priority,High priority,High priority,Top priority,High priority,Top priority,High priority,High priority,High priority,Top priority,High priority,Moderate priority,High priority,High priority,Top priority,Very true,Completely true,Very true,Moderately true,Very true,Very true,Completely true,Completely true,A little true,Moderately true,Very true,Very true,Moderately true,Very true,Very true,About once a month,A few times,About once a month,About once a month,About once a week,About once a month,About once a week,About once a week,About once a month,About once a week,A few times,About once a month,A few times,About once a month,A few times,About once a month,About once a month,A few times,About once a month,About once a month,A few times,About once a month,About once a week,A little more than I do,About the same as I do,A little more than I do,A little more than I do,About the same as I do,About the same as I do,About the same as I do,A little less than I do,"Spring (March - May),Fall (October - November)","The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for relaxation,Fishing for my own food","Yes, very involved","Yes, very involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","Yes, very involved",Very true,Moderately true,Moderately true,Very true,Very true,Moderately true,Moderately true,Very true,Very true,Moderately true,Very true,Very true,Moderately true,Very true,Very true,Moderately true,Very true,Moderately true,Very true,Moderately true,Very true,Moderately true,Very true,Very true,Moderately true,Very true,A good bit of the time,Most of the time,A good bit of the time,A good bit of the time,Most of the time,A good bit of the time,Several days,More than half the days,Several days,More than half the days,Several days,More than half the days,More than half the days,Improved,9,Phosphorus,7,Vehicle emissions,7,Spring (March - May),8,Boat propeller blades,7,"Television,Social media",35 - 44,Female,,White or European,,Bachelor's degree,Full-time,"$75,000 - $99,999",Slightly conservative,1.5,[confidential]
14/8/2024 17:49,14/8/2024 18:02,IP Address,100,796,TRUE,14/8/2024 18:02,R_37kt1pkghS5zFtV,anonymous,EN,1,,0,0,,I agree,Yes,33566,,Single-family home,Own,,20 years or more,,Not a priority,Not a priority,Top priority,Not a priority,Not a priority,Top priority,Not a priority,Top priority,Not a priority,Not a priority,Top priority,Top priority,Not a priority,Not a priority,Top priority,Top priority,Completely true,Completely true,Completely true,Completely true,Not true at all,Completely true,Completely true,Not true at all,A little true,Moderately true,Not true at all,Not true at all,Very true,Moderately true,Moderately true,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,A few times,Never,Never,Never,Multiple times per week,Never,Never,Much more than I do,About the same as I do,Much more than I do,Much more than I do,Much more than I do,About the same as I do,Much more than I do,Much more than I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Not true at all,Completely true,Not true at all,Completely true,Completely true,Not true at all,Moderately true,Moderately true,Not true at all,Very true,Very true,Very true,Moderately true,Moderately true,Completely true,Not true at all,Completely true,Completely true,Not true at all,Moderately true,Moderately true,Moderately true,Completely true,Completely true,Completely true,None of the time,Most of the time,None of the time,Most of the time,Some of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,10,Nitrogen,10,Stormwater runoff,10,Summer (June - September),10,Increased ocean temperature,10,"Television,Radio,Government websites",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$50,000 - $74,999",Moderately conservative,3,[confidential]
14/8/2024 18:05,14/8/2024 18:18,IP Address,100,800,TRUE,14/8/2024 18:19,R_5yda8jVNIz6ihW8,anonymous,EN,1,,0,0,,I agree,Yes,34689,,Apartment,Rent,,5 - 9 years,,Moderate priority,Moderate priority,High priority,Low priority,High priority,Moderate priority,High priority,High priority,High priority,Moderate priority,Moderate priority,High priority,High priority,High priority,Moderate priority,High priority,Moderately true,Moderately true,Very true,Very true,Moderately true,Completely true,Moderately true,Very true,A little true,Moderately true,Moderately true,A little true,A little true,A little true,A little true,Never,Never,A few times,Never,A few times,A few times,A few times,A few times,A few times,About once a month,Never,Never,Never,About once a month,Never,,,,,A few times,Never,A few times,Never,,,,,A little less than I do,About the same as I do,About the same as I do,Much less than I do,,A fishing pier or boardwalk,Fishing for relaxation,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Moderately true,Not true at all,Not true at all,Not true at all,A little true,A little true,A little true,Not true at all,Not true at all,Very true,Moderately true,Not true at all,A little true,A little true,Not true at all,Moderately true,Completely true,Moderately true,Not true at all,A little true,A little true,Not true at all,Not true at all,Not true at all,Not true at all,None of the time,All of the time,None of the time,A little of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,8,Carbon,6,Vehicle emissions,7,Winter (December - February),8,Nutrient pollution,5,Social media,55 - 64,Female,,White or European,,High school diploma or GED,Retired,"$25,000 - $49,999",Moderately liberal,1.5,[confidential]
